EDCS-ID,publication,province,place,inscription,inscription_conservative_cleaning,inscription_interpretive_cleaning,inscr_type,status_notation,inscr_process,clean_text_conservative,clean_text_interpretive_word,status,material,partner_link,dating_from,dating_to,date_not_before,date_not_after,latitude,longitude,photo,raw_dating,language,comment,extra_text,extra_html
EDCS-17200188,"CIL 06, 00086 (p 3755, 4107) = D 04254 = CIMRM-01, 00336",Roma,Roma,Deo Caute / Flavius Antistianus / v(ir) e(gregius) de decem primis / pater patrum,Deo Caute Flavius Antistianus v e de decem primis pater patrum,Deo Caute Flavius Antistianus vir egregius de decem primis pater patrum,tituli sacri,"['ordo equester', 'sacerdotes pagani', 'tria nomina', 'viri']",{},Deo Caute Flavius Antistianus v e de decem primis pater patrum,Deo Caute Flavius Antistianus vir egregius de decem primis pater patrum,ordo equester;  sacerdotes pagani;  tituli sacri;  tria nomina;  viri,lapis,http://db.edcs.eu/epigr/partner.php?s_language=en&param=N161222;de-b0161,151.0,400.0,151.0,400.0,41.8933203,12.4829321,,151 to 400,,,,
EDCS-07800429,"CIL 07, 00061 = RIB-01, 00187",Britannia,West Coker,Deo Marti / Rigisamo / Iu(v)entius / Sabinus / v(otum) s(olvit) l(ibens) l(aetus) m(erito),Deo Marti Rigisamo Iuentius Sabinus v s l l m,Deo Marti Rigisamo Iuventius Sabinus votum solvit libens laetus merito,tituli sacri,"['tria nomina', 'viri']",{},Deo Marti Rigisamo Iuentius Sabinus v s l l m,Deo Marti Rigisamo Iuventius Sabinus votum solvit libens laetus merito,tituli sacri;  tria nomina;  viri,aes,http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0045741;cil07_p28;R187;HD069501;bu_RIB%26bibl_volume=1%26bibl_subvolume=%26bibl_insc=187,43.0,410.0,43.0,410.0,50.9192175,-2.6869384,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=SCH0000193;SCH0000194,43 to 410,,,,
EDCS-07800982,"RIB-01, 00691",Britannia,York / Eboracum,D(is) M(anibus) / U[l]piae Felicissimae / q[u]ae vixit annis(!) / X[X]III menses XI dies / [6] / p[osueru]nt Ulpius Felix et / [3] Andronica / [paren]tes,D M U piae Felicissimae q ae vixit annis X III menses XI dies p nt Ulpius Felix et Andronica tes,Dis Manibus Ulpiae Felicissimae quae vixit annis XXIII menses XI dies posuerunt Ulpius Felix et Andronica parentes,tituli sepulcrales,"['mulieres', 'tria nomina', 'viri']",{},D M U piae Felicissimae q ae vixit annis X III menses XI dies p nt Ulpius Felix et Andronica tes,Dis Manibus Ulpiae Felicissimae quae vixit annis XXIII menses XI dies posuerunt Ulpius Felix et Andronica parentes,mulieres;  tituli sepulcrales;  tria nomina;  viri,plumbum,http://db.edcs.eu/epigr/partner.php?s_language=en&param=R691;HD069953,71.0,410.0,71.0,410.0,53.9590555,-1.0815361,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RIB_01_00691.jpg,71 to 410,,cinerarium,,
EDCS-15100098,"Zarker 00013 = AE 1939, +00007 = AE 1939, 00169 = AE 1941, 00093 = AE 1948, 00085 = AE 1948, 00135 = AE 1949, +00145",Transpadana / Regio XI,Angera / Angleria / Mediolanum,Acas[tus Aco] // In circo palma semper et laurus viret / ne desit / unquam praemium victoribus,Acas In circo palma semper et laurus viret ne desit unquam praemium victoribus,Acastus Aco In circo palma semper et laurus viret ne desit unquam praemium victoribus,{},{},{},Acas In circo palma semper et laurus viret ne desit unquam praemium victoribus,Acastus Aco In circo palma semper et laurus viret ne desit unquam praemium victoribus,,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=N073476;HD021333;1ae1939-08;1ae1939-58;1ae1939-59;1ae1941-30;1ae1941-31;1ae1948-34;1ae1948-53;1ae1949-47,1.0,500.0,1.0,500.0,45.7721876,8.5751222,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1939_00169.jpg,1 to 500,,,,
EDCS-25601160,"CIL 08, 09980 = ILCV 02865a",Mauretania Caesariensis,Lalla Maghnia / Numerus Syrorum,D(is) M(anibus) s(acrum) / Iulia Se/cunda qui(!) / vixit anni/s plus min/us XC disces/sit Idus Iun(ias) / an(no) {p} p(rovinciae) C[,D M s Iulia Secunda qui vixit annis plus minus XC discessit Idus Iun an p p C,Dis Manibus sacrum Iulia Secunda qui vixit annis plus minus XC discessit Idus Iunias anno provinciae C,"['inscriptiones christianae', 'tituli sepulcrales']","['mulieres', 'tria nomina']",{},D M s Iulia Secunda qui vixit annis plus minus XC discessit Idus Iun an p p C,Dis Manibus sacrum Iulia Secunda qui vixit annis plus minus XC discessit Idus Iunias anno provinciae C,inscriptiones christianae;  mulieres;  tituli sepulcrales;  tria nomina,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=bu_CIL%26bibl_volume=8%26bibl_subvolume=%26bibl_insc=9980,139.0,400.0,139.0,400.0,34.8469034,-1.7389418,,139 to 400,,,,
EDCS-39101769,"ICUR-07, 18497 = ILCV +03047",Roma,Roma,[Tala]ssio Aurelio bene merent[i] / [fili]o bono innocentissimo parent[es] / [fece]runt qui <v=B>ixit annis XLVI et me(n)ses(!) / [d]epos(s)ione Id(ib)us Septe<m=N>bre(s!) / in pace,ssio Aurelio bene merent o bono innocentissimo parent runt qui Bixit annis XLVI et meses eposione Idus SepteNbre in pace,Talassio Aurelio bene merenti filio bono innocentissimo parentes fecerunt qui vixit annis XLVI et menses depossione Idibus Septembres in pace,"['inscriptiones christianae', 'tituli sepulcrales']","['tria nomina', 'viri']",{},ssio Aurelio bene merent o bono innocentissimo parent runt qui Bixit annis XLVI et meses eposione Idus SepteNbre in pace,Talassio Aurelio bene merenti filio bono innocentissimo parentes fecerunt qui vixit annis XLVI et menses depossione Idibus Septembres in pace,inscriptiones christianae;  tituli sepulcrales;  tria nomina;  viri,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=J28980;047;bu_ICUR%26bibl_volume=7%26bibl_subvolume=%26bibl_insc=18497,301.0,400.0,301.0,400.0,41.8933203,12.4829321,,301 to 400,,,,
EDCS-38100823,"ICUR-02, 05995",Roma,Roma,[3 vixit] ann(os) XII men[s(e)s 3] / [3 Cl(audio) Antonio et] Fl(avio) Syagrio v[v(iris) cc(larissimis) cons(ulibu)s] / [3 vixit a]nn(os) XI mens(e)s I[3] / [3 FFll(avis) Saturnino et] Merobaude c[ons(ulibus),ann XII men Fl Syagrio v nn XI menss I Merobaude cons,vixit annos XII menses Claudio Antonio et Flavio Syagrio vviris cclarissimis consulibus vixit annos XI menses I FFllavis Saturnino et Merobaude consulibus,"['inscriptiones christianae', 'tituli sepulcrales']",{},{},ann XII men Fl Syagrio v nn XI menss I Merobaude cons,vixit annos XII menses Claudio Antonio et Flavio Syagrio vviris cclarissimis consulibus vixit annos XI menses I FFllavis Saturnino et Merobaude consulibus,inscriptiones christianae;  tituli sepulcrales,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=J20813,376.0,400.0,376.0,400.0,41.8933203,12.4829321,,376 to 400,,,,
EDCS-30600408,"ICUR-10, 26784 (p 245)",Roma,Roma,Peregrina F[i]leroti co(n)iu/gi qui vixit me[cum] an(n)is XIII dulcis/simo ben[e me]renti,Peregrina F leroti coiugi qui vixit me anis XIII dulcissimo ben renti,Peregrina Fileroti coniugi qui vixit mecum annis XIII dulcissimo bene merenti,"['inscriptiones christianae', 'tituli sepulcrales']","['mulieres', 'nomen singulare', 'viri']",{},Peregrina F leroti coiugi qui vixit me anis XIII dulcissimo ben renti,Peregrina Fileroti coniugi qui vixit mecum annis XIII dulcissimo bene merenti,inscriptiones christianae;  mulieres;  nomen singulare;  tituli sepulcrales;  viri,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=J6755,351.0,400.0,351.0,400.0,41.8933203,12.4829321,,351 to 400,,,,
EDCS-36901807,"ICUR-04, 10922 = ILCV 04239 = Louvre 00848",Roma,Roma,Iubena<t=I>i Trigris marito in pace qui <v=B>ixit an(nos) XXIIII / m(enses) duo d(e)p(ositus) in pace XI Kal(endas) No<v=B>(embres) qu<i=E> fecit cum uxore{m} an(num) I m(enses) VII,IubenaIi Trigris marito in pace qui Bixit an XXIIII m duo dp in pace XI Kal NoB quE fecit cum uxorem an I m VII,Iubenati Trigris marito in pace qui vixit annos XXIIII menses duo depositus in pace XI Kalendas Novembres qui fecit cum uxore annum I menses VII,"['inscriptiones christianae', 'tituli sepulcrales']","['mulieres', 'nomen singulare', 'viri']",{},IubenaIi Trigris marito in pace qui Bixit an XXIIII m duo dp in pace XI Kal NoB quE fecit cum uxorem an I m VII,Iubenati Trigris marito in pace qui vixit annos XXIIII menses duo depositus in pace XI Kalendas Novembres qui fecit cum uxore annum I menses VII,inscriptiones christianae;  mulieres;  nomen singulare;  tituli sepulcrales;  viri,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=J39251;bu_ILCV%26bibl_volume=%26bibl_subvolume=%26bibl_insc=4239,301.0,400.0,301.0,400.0,41.8933203,12.4829321,,301 to 400,,,,
EDCS-38700700,"ICUR-01, 01157 = ILCV 02991a (em)",Roma,Roma,Minuciae Felicissim(a)e nepo[ti] / Abiae suae bene mere(n)ti qu(a)e <v=B>i[xit] / ann(os) LXXVI de(posita) VIII Kal(endas) Aug(ustas) in pa[ce],Minuciae Felicissime nepo Abiae suae bene mereti que Bi ann LXXVI de VIII Kal Aug in pa,Minuciae Felicissimae nepoti Abiae suae bene merenti quae vixit annos LXXVI deposita VIII Kalendas Augustas in pace,"['inscriptiones christianae', 'tituli sepulcrales']","['mulieres', 'nomen singulare', 'tria nomina']",{},Minuciae Felicissime nepo Abiae suae bene mereti que Bi ann LXXVI de VIII Kal Aug in pa,Minuciae Felicissimae nepoti Abiae suae bene merenti quae vixit annos LXXVI deposita VIII Kalendas Augustas in pace,inscriptiones christianae;  mulieres;  nomen singulare;  tituli sepulcrales;  tria nomina,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=J30101;bu_ILCV%26bibl_volume=%26bibl_subvolume=%26bibl_insc=2991a,301.0,400.0,301.0,400.0,41.8933203,12.4829321,,301 to 400,,,,
